id,name,"model (C=county, D=district, 1=all-up, 3=thirds, etc.)","type (LC=leader&cabinet, etc.)",total,majority,coalition,con,lab,ld,grn,ukip,pc,snp,dup,sf,uup,sdlp,ali,tuv,pup,ind,vacant,boundary,"ons code","start of records (or creation of council)","end of records (or abolition of council)",url,"last update"
406,"City of London",,,0,IND,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,E09000001,2016,2021,http://democracy.cityoflondon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2020-03-01
405,"Isles of Scilly",,,16,IND,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,,E06000053,2016,2030,http://committees.scilly.gov.uk/mgMemberIndex.aspx?bcr=1,2021-06-12
1,"Buckinghamshire CC",C1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into Bucks UA in 2020.",,2016,2019,https://democracy.buckscc.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=TABLE&PIC=1,2020-03-01
2,Cambridgeshire,C1,LC,61,NOC,LD/LAB/IND,28,9,20,0,0,0,0,0,0,0,0,0,0,0,4,0,,,2016,2030,https://cambridgeshire.cmis.uk.com/ccc_live/Councillors.aspx,2021-06-04
3,Cumbria,C1,LC,0,NOC,LAB/LD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Elections to E&W Cumbria in 2022, CC to be abolished in 2023.",,2016,2021,http://councilportal.cumbria.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2022-01-31
4,Derbyshire,C1,LC,64,CON,CON,44,14,4,1,0,0,0,0,0,0,0,0,0,0,1,0,,,2016,2030,http://www.derbyshire.gov.uk/council/councillors/,2022-03-29
5,Devon,C1,LC,60,CON,CON,39,7,9,2,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,http://democracy.devon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
7,"East Sussex",C1,LC,50,CON,CON,27,5,11,4,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,https://democracy.eastsussex.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
8,Essex,C1,LC,75,CON,CON,52,5,8,1,0,0,0,0,0,0,0,0,0,0,9,0,,,2016,2030,https://cmis.essex.gov.uk/essexcmis5/Councillors.aspx,2022-03-04
9,Gloucestershire,C1,LC,53,CON,CON,27,5,16,4,0,0,0,0,0,0,0,0,0,0,1,0,,,2016,2030,http://glostext.gloucestershire.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2022-02-08
10,Hampshire,C1,LC,78,CON,CON,56,3,17,0,0,0,0,0,0,0,0,0,0,0,2,0,,,2016,2030,http://democracy.hants.gov.uk/mgMemberIndex.aspx?bcr=1,2021-04-02
11,Hertfordshire,C1,LC,78,CON,CON,46,7,23,1,0,0,0,0,0,0,0,0,0,0,1,0,,,2016,2030,https://democracy.hertfordshire.gov.uk/mgMemberIndex.aspx?bcr=1,2022-03-27
12,Kent,C1,LC,81,CON,CON,62,7,6,4,0,0,0,0,0,0,0,0,0,0,2,0,,,2016,2030,https://democracy.kent.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2022-06-01
13,Lancashire,C1,LC,84,CON,CON,48,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://council.lancashire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=TABLE&PIC=1,2021-04-01
14,Leicestershire,C1,LC,55,CON,CON,42,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://politics.leics.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-02
15,Lincolnshire,C1,LC,70,CON,CON,54,4,3,0,0,0,0,0,0,0,0,0,0,0,9,0,,,2016,2030,http://lincolnshire.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2022-05-24
16,Norfolk,C1,LC,84,CON,CON,57,12,9,3,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,http://norfolkcc.cmis.uk.com/norfolkcc/Councillors/tabid/63/ScreenMode/Alphabetical/Default.aspx,2021-07-30
17,"North Yorkshire",C1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Elections to new unitary in 2022, CC to be abolished in 2023.",,2016,2021,https://edemocracy.northyorks.gov.uk/mgMemberIndex.aspx?bcr=1,2022-03-29
