month,nominal_nmw_nlw_rates,cpi_adjusted,rpi_adjusted,awe_adjusted,gdp_per_head_adjusted,work_week,annual_salary,monthly_salary
1999-04-01,3.6,3.6,3.6,3.6,3.6,144,7488,624
2000-04-01,3.6,3.62,3.71,3.79,3.83,148.4,7716.8,643.0666666666667
2001-04-01,3.7,3.66,3.77,4.01,3.96,150.8,7841.6,653.4666666666667
2002-04-01,4.1,3.71,3.83,4.16,4.0999999999999996,153.2,7966.4,663.8666666666667
2003-04-01,4.2,3.76,3.95,4.27,4.3099999999999996,158,8216,684.6666666666666
2004-04-01,4.5,3.81,4.05,4.44,4.54,162,8424,702
2005-04-01,4.85,3.88,4.18,4.64,4.75,167.2,8694.4,724.5333333333333
2006-04-01,5.05,3.96,4.28,4.83,4.97,171.20000000000002,8902.400000000001,741.8666666666668
2007-04-01,5.35,4.07,4.48,5.03,5.16,179.20000000000002,9318.400000000001,776.5333333333334
2008-04-01,5.52,4.19,4.66,5.26,5.33,186.4,9692.800000000001,807.7333333333335
2009-04-01,5.73,4.29,4.61,5.35,5.0999999999999996,184.4,9588.800000000001,799.0666666666667
2010-04-01,5.8,4.45,4.86,5.41,5.25,194.4,10108.800000000001,842.4000000000001
2011-04-01,5.93,4.65,5.11,5.53,5.36,204.4,10628.800000000001,885.7333333333335
2012-04-01,6.08,4.79,5.28,5.63,5.44,211.20000000000002,10982.400000000001,915.2000000000002
2013-04-01,6.19,4.9,5.44,5.85,5.65,217.60000000000002,11315.2,942.9333333333334
2014-04-01,6.31,4.99,5.57,5.74,5.92,222.8,11585.6,965.4666666666667
2015-04-01,6.5,4.98,5.62,5.88,6.05,224.8,11689.6,974.1333333333333
2016-04-01,7.2,5,5.7,6.06,6.18,228,11856,988
2017-04-01,7.5,5.13,5.9,6.14,6.39,236,12272,1022.6666666666666
2018-04-01,7.83,5.26,6.1,6.3,6.57,244,12688,1057.3333333333333
2019-04-01,8.21,5.39,6.31,6.54,6.74,252.39999999999998,13124.8,1093.7333333333333
