NUTS level,NUTS code,Region name,Transaction code,Transaction,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UK,UK,United Kingdom,B.2g,Operating surplus,1763,1815,1909,1969,2030,2038,2088,2144,2181,2241,2300,2437,2037,2017,2077,2212,2222,2383,2517,2645,2632,2717
UK,UK,United Kingdom,B.3g,Mixed income,999,1061,1119,1168,1222,1302,1325,1343,1421,1484,1494,1528,1544,1598,1632,1686,1754,1856,1934,1980,2068,2215
UK,UK,United Kingdom,D.1,Compensation of employees,7534,7932,8537,9108,9612,9885,10356,10956,11465,12136,12796,12874,12664,12916,13075,13232,13734,13997,14273,14736,15276,15844
UK,UK,United Kingdom,D.4,"Property income, received",2589,2696,2470,2869,2710,2689,2660,2952,3240,3268,3790,3935,3132,3093,3019,2911,2978,3346,3586,3396,3204,3536
UK,UK,United Kingdom,NA,Primary resources total,12885,13503,14035,15114,15575,15914,16429,17395,18307,19128,20380,20775,19376,19625,19802,20042,20689,21582,22310,22757,23181,24312
UK,UK,United Kingdom,D.4,"Property income, paid",561,619,582,695,654,598,613,802,910,999,1248,1413,425,306,361,385,325,412,393,379,293,400
UK,UK,United Kingdom,NA,Primary uses total,561,619,582,695,654,598,613,802,910,999,1248,1413,425,306,361,385,325,412,393,379,293,400
UK,UK,United Kingdom,B.5g,Balance of primary incomes,12324,12884,13453,14419,14921,15316,15816,16593,17397,18130,19133,19362,18951,19319,19441,19657,20363,21170,21917,22378,22888,23912
UK,UK,United Kingdom,D.61/D.62,Imputed social contributions/Social benefits received,2547,2598,2681,2819,2946,3100,3284,3440,3590,3797,3969,4197,4568,4761,4832,5078,5140,5127,5261,5291,5388,5488
UK,UK,United Kingdom,D.7,"Other current transfers, received",312,380,383,448,452,448,395,421,385,389,497,441,421,541,594,627,642,579,585,565,594,623
UK,UK,United Kingdom,NA,Secondary resources total,2859,2978,3064,3266,3398,3548,3680,3861,3975,4186,4466,4638,4989,5302,5426,5705,5783,5706,5846,5856,5982,6111
UK,UK,United Kingdom,D.5,"Current taxes on income, wealth etc",1565,1829,1969,2116,2237,2261,2358,2507,2685,2842,3038,3109,2963,2970,3028,2952,3032,3077,3197,3305,3448,3569
UK,UK,United Kingdom,D.61/D.62,Social contributions/Social benefits paid,2446,2531,2543,2776,2868,3011,3238,3498,3712,3910,4166,4120,3931,4288,4218,4155,4204,4385,4259,4437,4449,4537
UK,UK,United Kingdom,D.7,"Other current transfers, paid",374,452,454,524,534,548,517,560,535,540,639,602,613,760,780,768,819,762,775,773,801,809
UK,UK,United Kingdom,NA,Secondary uses total,4385,4812,4966,5415,5640,5821,6112,6565,6932,7291,7844,7831,7507,8018,8025,7875,8055,8225,8231,8515,8698,8914
UK,UK,United Kingdom,NA,Balance of secondary income,-1526,-1834,-1902,-2149,-2242,-2272,-2433,-2704,-2957,-3105,-3377,-3193,-2518,-2716,-2599,-2170,-2273,-2519,-2385,-2659,-2716,-2803
UK,UK,United Kingdom,B.6g,Gross Disposable Income,10799,11050,11551,12271,12679,13044,13383,13890,14439,15024,15756,16169,16433,16603,16842,17486,18091,18651,19533,19719,20172,21109
Other,UK0,England,B.2g,Operating surplus,1846,1892,1995,2057,2124,2125,2180,2239,2282,2318,2395,2547,2119,2099,2154,2307,2314,2489,2637,2781,2758,2841
Other,UK0,England,B.3g,Mixed income,1046,1117,1179,1226,1281,1366,1386,1397,1476,1537,1551,1593,1612,1676,1711,1772,1844,1954,2039,2091,2180,2334
Other,UK0,England,D.1,Compensation of employees,7700,8117,8740,9342,9847,10114,10586,11201,11723,12424,13078,13138,12928,13183,13334,13486,14002,14270,14573,15082,15649,16254
