NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UK,UK,United Kingdom,10799,11050,11551,12271,12679,13044,13383,13890,14439,15024,15756,16169,16433,16603,16842,17486,18091,18651,19533,19719,20172,21109
Other,UK0,England,11058,11328,11850,12576,12985,13331,13663,14166,14730,15324,16083,16477,16766,16923,17141,17822,18456,19043,20000,20207,20658,21609
NUTS1,UKC,North East,9295,9372,9726,10333,10736,10973,11267,11752,12026,12468,12827,13112,13679,13921,14121,14710,14984,15347,15858,15971,16364,16995
NUTS2,UKC1,Tees Valley and Durham,9240,9234,9642,10222,10646,10851,11052,11544,11887,12301,12613,12860,13366,13632,13827,14382,14602,15073,15519,15591,16020,16585
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,9324,9255,9741,10229,10604,10972,11247,11738,12186,12667,12997,13326,13768,14026,14392,14832,14893,15387,15745,15814,16465,17243
NUTS3,UKC12,South Teesside,9019,8710,9178,9757,10198,10295,10482,10897,11278,11774,11987,12248,12914,13043,13289,14082,14243,14861,15204,15219,15553,15764
NUTS3,UKC13,Darlington,9607,9553,9759,10613,11430,11573,11764,12129,12426,12642,13281,13263,13921,13953,13848,14477,14878,15109,15730,16281,16729,17140
NUTS3,UKC14,Durham CC,9248,9459,9830,10406,10768,10952,11121,11681,11952,12318,12607,12850,13271,13664,13796,14274,14574,15004,15517,15524,15876,16542
NUTS2,UKC2,Northumberland and Tyne and Wear,9339,9485,9795,10424,10810,11074,11444,11923,12140,12606,13004,13321,13938,14160,14364,14981,15299,15574,16138,16285,16649,17333
NUTS3,UKC21,Northumberland,10311,10429,10971,11730,12123,12380,12938,13286,13663,14454,14838,15707,16680,16603,16782,17390,17797,18113,18723,19006,19504,20437
NUTS3,UKC22,Tyneside,9255,9475,9647,10200,10625,10868,11197,11770,11845,12228,12607,12758,13315,13623,13798,14437,14693,15009,15612,15636,15901,16605
NUTS3,UKC23,Sunderland,8552,8512,8952,9649,9911,10235,10505,10851,11297,11640,12098,12268,12662,12973,13291,13861,14273,14381,14786,15161,15666,16000
NUTS1,UKD,North West,9792,9965,10490,11063,11389,11749,12095,12505,12940,13357,13913,14151,14642,14793,14987,15486,15916,16332,17046,17122,17580,18362
NUTS2,UKD1,Cumbria,9992,10408,10725,11186,11906,12112,12651,13208,13662,14220,14845,15104,15772,16201,16368,17087,17623,18102,18848,18979,19567,20416
NUTS3,UKD11,West Cumbria,9043,9409,9681,10364,10929,10939,11380,11953,12264,12890,13741,13981,14437,14890,15154,15949,16288,16721,17518,17611,18144,18879
NUTS3,UKD12,East Cumbria,10890,11344,11705,11950,12812,13193,13814,14348,14920,15412,15832,16111,16969,17375,17455,18099,18806,19326,20027,20187,20816,21764
NUTS2,UKD3,Greater Manchester,9620,9765,10399,10979,11247,11556,11782,12122,12515,12929,13421,13583,13960,14085,14274,14756,15158,15542,16201,16274,16721,17511
NUTS3,UKD33,Manchester,7164,7444,8155,8565,8896,9323,9450,9683,10083,10393,10761,10965,11435,11532,11719,12030,12428,12748,13433,13536,14089,14864
NUTS3,UKD34,Greater Manchester South West,11949,12085,12741,13494,13704,14074,14368,14788,15247,15637,16164,16341,16552,16513,16728,17213,17548,17901,19119,19312,19959,21188
NUTS3,UKD35,Greater Manchester South East,9893,10024,10735,11378,11577,11920,12250,12506,12966,13474,14005,14236,14802,15063,15389,15906,16330,16915,17700,18014,18444,19369
NUTS3,UKD36,Greater Manchester North West,9963,10047,10607,11192,11488,11730,11942,12365,12702,13139,13668,13750,14049,14194,14328,14846,15188,15432,15652,15550,16007,16577
NUTS3,UKD37,Greater Manchester North East,9084,9218,9796,10352,10661,10898,11096,11471,11838,12269,12776,12920,13274,13426,13568,14139,14635,15067,15630,15590,15797,16357
NUTS2,UKD4,Lancashire,9543,9682,10058,10693,11048,11308,11586,11997,12500,12889,13443,13781,14341,14460,14714,15009,15331,15735,16423,16534,16916,17620
NUTS3,UKD41,Blackburn with Darwen,8468,8496,8983,9127,9344,9322,9653,9898,10454,10778,10979,10953,11205,11602,11581,11775,11881,12312,12702,12753,13081,13741
NUTS3,UKD42,Blackpool,9573,9725,9906,10717,10861,10976,10785,10963,11149,11422,11979,12243,12803,13005,13503,13620,13840,14265,14831,15166,15429,15986
NUTS3,UKD44,Lancaster and Wyre,9215,9434,9780,10467,10864,11254,11602,11999,12468,12888,13453,13824,14577,14663,14913,15211,15670,16045,16463,16509,17080,17525
