NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UK,UK,United Kingdom,629710,646171,677867,722570,749490,774354,798125,832706,872321,913886,966115,999635,1023136,1041998,1065842,1113975,1159717,1204789,1271767,1294482,1332156,1402367
Other,UK0,England,538146,553034,581018,619168,642119,662276,682113,711051,745425,780997,826343,853748,875103,890863,910307,953358,994127,1034327,1095728,1116811,1148982,1209637
NUTS1,UKC,North East,23869,24002,24805,26281,27269,27879,28623,29855,30632,31826,32864,33689,35229,36012,36663,38281,39115,40190,41620,42110,43280,45171
NUTS2,UKC1,Tees Valley and Durham,10633,10617,11063,11725,12199,12430,12669,13248,13683,14203,14627,14970,15589,15969,16261,16945,17254,17855,18430,18596,19162,19923
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,2498,2490,2635,2786,2905,3017,3102,3240,3373,3522,3625,3737,3876,3965,4086,4223,4261,4416,4529,4567,4767,5008
NUTS3,UKC12,South Teesside,2572,2477,2593,2746,2859,2868,2910,3020,3121,3247,3298,3361,3527,3561,3635,3854,3901,4073,4176,4198,4303,4371
NUTS3,UKC13,Darlington,953,948,958,1041,1119,1140,1164,1205,1246,1283,1363,1375,1453,1465,1462,1527,1573,1600,1667,1731,1779,1827
NUTS3,UKC14,Durham CC,4610,4701,4877,5152,5316,5405,5493,5784,5943,6151,6341,6497,6733,6977,7077,7340,7519,7766,8059,8100,8314,8717
NUTS2,UKC2,Northumberland and Tyne and Wear,13236,13385,13741,14556,15070,15449,15954,16607,16949,17622,18237,18718,19640,20044,20403,21336,21862,22335,23189,23514,24118,25248
NUTS3,UKC21,Northumberland,3163,3204,3373,3605,3726,3819,4004,4120,4246,4501,4644,4933,5246,5238,5308,5504,5631,5739,5925,6033,6222,6546
NUTS3,UKC22,Tyneside,7586,7715,7794,8194,8524,8733,8993,9447,9549,9881,10232,10389,10897,11226,11436,12010,12290,12616,13172,13276,13552,14263
NUTS3,UKC23,Sunderland,2487,2466,2574,2757,2821,2897,2957,3040,3154,3240,3361,3396,3497,3580,3660,3822,3941,3980,4093,4204,4343,4439
NUTS1,UKD,North West,66529,67685,71050,74944,77140,79717,82423,85539,88896,92186,96409,98467,102293,103844,105751,109709,113059,116498,122311,123687,127608,133897
NUTS2,UKD1,Cumbria,4878,5090,5235,5454,5808,5919,6216,6537,6790,7093,7434,7566,7898,8103,8181,8530,8785,9022,9397,9467,9752,10185
NUTS3,UKD11,West Cumbria,2145,2226,2289,2437,2566,2562,2671,2814,2888,3040,3251,3311,3419,3519,3578,3749,3816,3916,4101,4120,4228,4400
NUTS3,UKD12,East Cumbria,2733,2864,2947,3017,3242,3357,3544,3723,3902,4052,4183,4255,4479,4584,4603,4781,4969,5106,5296,5347,5524,5785
NUTS2,UKD3,Greater Manchester,24261,24626,26159,27628,28299,29158,29910,30909,32088,33387,34876,35587,36852,37491,38332,39861,41133,42431,44618,45255,46798,49250
NUTS3,UKD33,Manchester,2993,3110,3396,3613,3762,3992,4127,4308,4595,4820,5064,5235,5532,5681,5893,6142,6384,6614,7117,7327,7686,8140
NUTS3,UKD34,Greater Manchester South West,5227,5267,5517,5802,5854,6015,6183,6389,6632,6870,7158,7316,7482,7548,7721,8008,8227,8482,9142,9315,9716,10399
NUTS3,UKD35,Greater Manchester South East,4971,5032,5361,5658,5761,5921,6081,6203,6414,6665,6942,7087,7396,7552,7740,8016,8254,8577,9021,9240,9502,10013
NUTS3,UKD36,Greater Manchester North West,5597,5652,5965,6292,6465,6623,6779,7041,7255,7553,7896,8009,8253,8395,8531,8875,9114,9289,9455,9440,9755,10136
NUTS3,UKD37,Greater Manchester North East,5474,5565,5920,6264,6456,6607,6740,6966,7192,7480,7817,7941,8189,8315,8446,8821,9155,9469,9883,9934,10139,10562
NUTS2,UKD4,Lancashire,13472,13677,14190,15122,15658,16059,16541,17204,18002,18637,19485,19998,20837,21073,21502,21993,22505,23144,24255,24535,25213,26400
NUTS3,UKD41,Blackburn with Darwen,1175,1186,1242,1261,1294,1301,1356,1400,1486,1542,1580,1587,1638,1705,1710,1741,1756,1815,1878,1893,1946,2047
