Area code,Area name,2020 - Identified deaths,2019 - Identified deaths,2018 - Identified deaths,2017 - Identified deaths,2016 - Identified deaths,2015 - Identified deaths,2014 - Identified deaths,2013 - Identified deaths,Total Identified deaths,2020 - Estimated deaths,2019 - Estimated deaths,2018 - Estimated deaths,2017 - Estimated deaths,2016 - Estimated deaths,2015 - Estimated deaths,2014 - Estimated deaths,2013 - Estimated deaths,Total estimated deaths,2020 - Estimated deaths per million total population [note 4][note 10][note 11],2019 - Estimated deaths per million total population [note 4][note 10][note 11],2018 - Estimated deaths per million total population [note 4][note 10][note 11],2017 - Estimated deaths per million total population [[note 4][note 10][note 11],2016 - Estimated deaths per million total population [note 4][note 10][note 11],2015 - Estimated deaths per million total population [note 4][note 10][note 11],2014 - Estimated deaths per million total population [note 4][note 10][note 11],2013 - Estimated deaths per million total population [note 4][note 10][note 11],Total estimated deaths per million total population [note 4][note 10][note 11]
E06000001,Hartlepool,1,2,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,4,:,43.7,:,:,:,:,:,:,7.3
E06000002,Middlesbrough,0,2,2,2,2,3,3,2,16,0,3,3,2,2,4,4,2,20,:,29.3,29.3,:,:,39.200000000000003,39.200000000000003,:,24.4
E06000003,Redcar and Cleveland,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,:,:,:,:,:,:,:,:,:
E06000004,Stockton-on-Tees,2,0,1,2,2,1,1,1,10,3,0,1,2,2,1,1,1,11,20.8,:,:,:,:,:,:,:,9.5
E06000005,Darlington,1,0,1,1,1,0,3,0,7,1,0,1,1,1,0,4,0,8,:,:,:,:,:,:,51.5,:,12.9
E06000006,Halton,1,0,0,2,0,1,0,0,4,1,0,0,2,0,1,0,0,4,:,:,:,:,:,:,:,:,5.3
E06000007,Warrington,4,2,0,2,4,2,1,1,16,6,3,0,2,5,2,1,1,20,39,19.399999999999999,:,:,32.200000000000003,:,:,:,16.2
E06000008,Blackburn with Darwen,10,8,8,9,9,7,6,3,60,14,11,11,11,11,8,7,4,77,129.1,101.9,102.4,102.7,102.7,74.900000000000006,65.8,37.5,89.7
E06000009,Blackpool,3,3,5,1,3,3,2,0,20,4,4,7,1,4,4,2,0,26,39.700000000000003,39.4,68.8,:,38.799999999999997,38.700000000000003,:,:,31.6
E06000010,"Kingston upon Hull, City of",4,9,7,10,9,5,2,3,49,6,12,9,12,11,6,2,4,62,31.1,62.1,46.3,61.6,56.5,31,:,20.7,40
E06000011,East Riding of Yorkshire,0,2,1,0,0,2,2,1,8,0,3,1,0,0,2,2,1,9,:,12.1,:,:,:,:,:,:,4.5
E06000012,North East Lincolnshire,3,0,1,3,1,1,0,0,9,4,0,1,4,1,1,0,0,11,34.799999999999997,:,:,34.5,:,:,:,:,11.8
E06000013,North Lincolnshire,2,0,2,0,1,0,0,0,5,3,0,3,0,1,0,0,0,7,23.8,:,23.8,:,:,:,:,:,7
E06000014,York,4,8,4,5,1,3,1,0,26,6,11,5,6,1,4,1,0,34,37.1,68.2,31.1,37.6,:,25.4,:,:,26.8
E06000015,Derby,8,3,5,4,2,3,5,2,32,11,4,7,5,2,4,6,2,41,59.2,21.5,37.6,26.8,:,21.7,32.700000000000003,:,27.7
E06000016,Leicester,7,5,6,4,9,9,3,5,48,10,7,8,5,11,11,4,6,62,38,26.6,30.3,19,42.4,43.1,15.9,24.1,30
E06000017,Rutland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:
