"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","18_65","RT","A","2012",0.107,
"AUS","POVERTY","18_65","RT","A","2014",0.102,
"AUS","POVERTY","18_65","RT","A","2016",0.094,
"AUS","POVERTY","18_65","RT","A","2018",0.096,
"AUT","POVERTY","18_65","RT","A","2011",0.087,
"AUT","POVERTY","18_65","RT","A","2012",0.089,
"AUT","POVERTY","18_65","RT","A","2013",0.084,
"AUT","POVERTY","18_65","RT","A","2014",0.087,
"AUT","POVERTY","18_65","RT","A","2015",0.087,
"AUT","POVERTY","18_65","RT","A","2016",0.095,
"AUT","POVERTY","18_65","RT","A","2017",0.088,
"AUT","POVERTY","18_65","RT","A","2018",0.092,
"AUT","POVERTY","18_65","RT","A","2019",0.091,
"BEL","POVERTY","18_65","RT","A","2018",0.077,
"BEL","POVERTY","18_65","RT","A","2019",0.073,
"CAN","POVERTY","18_65","RT","A","2011",0.129,
"CAN","POVERTY","18_65","RT","A","2012",0.132,
"CAN","POVERTY","18_65","RT","A","2013",0.131,
"CAN","POVERTY","18_65","RT","A","2014",0.127,
"CAN","POVERTY","18_65","RT","A","2015",0.141,
"CAN","POVERTY","18_65","RT","A","2016",0.124,
"CAN","POVERTY","18_65","RT","A","2017",0.121,
"CAN","POVERTY","18_65","RT","A","2018",0.118,
"CAN","POVERTY","18_65","RT","A","2019",0.115,
"CZE","POVERTY","18_65","RT","A","2011",0.057,
"CZE","POVERTY","18_65","RT","A","2012",0.05,
"CZE","POVERTY","18_65","RT","A","2013",0.055,
"CZE","POVERTY","18_65","RT","A","2014",0.053,
"CZE","POVERTY","18_65","RT","A","2015",0.058,
"CZE","POVERTY","18_65","RT","A","2016",0.05,
"CZE","POVERTY","18_65","RT","A","2017",0.047,
"CZE","POVERTY","18_65","RT","A","2018",0.048,
"CZE","POVERTY","18_65","RT","A","2019",0.043,
"DNK","POVERTY","18_65","RT","A","2011",0.066,
"DNK","POVERTY","18_65","RT","A","2012",0.065,
"DNK","POVERTY","18_65","RT","A","2013",0.067,
"DNK","POVERTY","18_65","RT","A","2014",0.07,
"DNK","POVERTY","18_65","RT","A","2015",0.07,
"DNK","POVERTY","18_65","RT","A","2016",0.073,
"DNK","POVERTY","18_65","RT","A","2017",0.075,
"DNK","POVERTY","18_65","RT","A","2018",0.077,
"FIN","POVERTY","18_65","RT","A","2011",0.078,
"FIN","POVERTY","18_65","RT","A","2012",0.07,
"FIN","POVERTY","18_65","RT","A","2013",0.078,
"FIN","POVERTY","18_65","RT","A","2014",0.079,
"FIN","POVERTY","18_65","RT","A","2015",0.075,
"FIN","POVERTY","18_65","RT","A","2016",0.068,
"FIN","POVERTY","18_65","RT","A","2017",0.072,
"FIN","POVERTY","18_65","RT","A","2018",0.072,
"FRA","POVERTY","18_65","RT","A","2012",0.086,
"FRA","POVERTY","18_65","RT","A","2013",0.078,
"FRA","POVERTY","18_65","RT","A","2014",0.082,
"FRA","POVERTY","18_65","RT","A","2015",0.083,
"FRA","POVERTY","18_65","RT","A","2016",0.085,
"FRA","POVERTY","18_65","RT","A","2017",0.083,
"FRA","POVERTY","18_65","RT","A","2018",0.086,
"FRA","POVERTY","18_65","RT","A","2019",0.085,
"DEU","POVERTY","18_65","RT","A","2011",0.087,
"DEU","POVERTY","18_65","RT","A","2012",0.083,
"DEU","POVERTY","18_65","RT","A","2013",0.091,
"DEU","POVERTY","18_65","RT","A","2014",0.095,
"DEU","POVERTY","18_65","RT","A","2015",0.1,
"DEU","POVERTY","18_65","RT","A","2016",0.102,
"DEU","POVERTY","18_65","RT","A","2017",0.102,
"DEU","POVERTY","18_65","RT","A","2018",0.097,
"GRC","POVERTY","18_65","RT","A","2011",0.158,
