"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","2011",67.2268749576993,
"AUS","WKGPOP","TOT","PC_POP","A","2012",66.9304833205145,
"AUS","WKGPOP","TOT","PC_POP","A","2013",66.6713031564291,
"AUS","WKGPOP","TOT","PC_POP","A","2014",66.4253900823175,
"AUS","WKGPOP","TOT","PC_POP","A","2015",66.1831428835957,
"AUS","WKGPOP","TOT","PC_POP","A","2016",65.9175739049387,
"AUS","WKGPOP","TOT","PC_POP","A","2017",65.7345013750993,
"AUS","WKGPOP","TOT","PC_POP","A","2018",65.5532463120061,
"AUS","WKGPOP","TOT","PC_POP","A","2019",65.375521199949,
"AUT","WKGPOP","TOT","PC_POP","A","2011",67.6576264696549,
"AUT","WKGPOP","TOT","PC_POP","A","2012",67.5673613281067,
"AUT","WKGPOP","TOT","PC_POP","A","2013",67.439104518811,
"AUT","WKGPOP","TOT","PC_POP","A","2014",67.3005707442428,
"AUT","WKGPOP","TOT","PC_POP","A","2015",67.2390894556232,
"AUT","WKGPOP","TOT","PC_POP","A","2016",67.1433439140411,
"AUT","WKGPOP","TOT","PC_POP","A","2017",66.9827982098614,
"AUT","WKGPOP","TOT","PC_POP","A","2018",66.8095694957979,
"AUT","WKGPOP","TOT","PC_POP","A","2019",66.6369440426546,
"BEL","WKGPOP","TOT","PC_POP","A","2011",65.7203962736192,
"BEL","WKGPOP","TOT","PC_POP","A","2012",65.4776834456296,
"BEL","WKGPOP","TOT","PC_POP","A","2013",65.2488491494812,
"BEL","WKGPOP","TOT","PC_POP","A","2014",65.0118544393279,
"BEL","WKGPOP","TOT","PC_POP","A","2015",64.8108364178268,
"BEL","WKGPOP","TOT","PC_POP","A","2016",64.6308903149472,
"BEL","WKGPOP","TOT","PC_POP","A","2017",64.4304063033826,
"BEL","WKGPOP","TOT","PC_POP","A","2018",64.2367503994304,
"BEL","WKGPOP","TOT","PC_POP","A","2019",64.0615273586521,
"CAN","WKGPOP","TOT","PC_POP","A","2011",69.1780340022961,
"CAN","WKGPOP","TOT","PC_POP","A","2012",68.8449563985619,
"CAN","WKGPOP","TOT","PC_POP","A","2013",68.4831699177897,
"CAN","WKGPOP","TOT","PC_POP","A","2014",68.1288050334343,
"CAN","WKGPOP","TOT","PC_POP","A","2015",67.7447282445452,
"CAN","WKGPOP","TOT","PC_POP","A","2016",67.3581848448858,
"CAN","WKGPOP","TOT","PC_POP","A","2017",67.0350287225756,
"CAN","WKGPOP","TOT","PC_POP","A","2018",66.7563339369367,
"CAN","WKGPOP","TOT","PC_POP","A","2019",66.4793331720283,
"CZE","WKGPOP","TOT","PC_POP","A","2011",69.5039151456767,
"CZE","WKGPOP","TOT","PC_POP","A","2012",68.7410733707314,
"CZE","WKGPOP","TOT","PC_POP","A","2013",67.9860435808435,
"CZE","WKGPOP","TOT","PC_POP","A","2014",67.2953162074695,
"CZE","WKGPOP","TOT","PC_POP","A","2015",66.6318945888159,
"CZE","WKGPOP","TOT","PC_POP","A","2016",65.9663762942861,
"CZE","WKGPOP","TOT","PC_POP","A","2017",65.3180038464422,
"CZE","WKGPOP","TOT","PC_POP","A","2018",64.7604981164888,
"CZE","WKGPOP","TOT","PC_POP","A","2019",64.2878780323852,
"DNK","WKGPOP","TOT","PC_POP","A","2011",65.0823552827664,
"DNK","WKGPOP","TOT","PC_POP","A","2012",64.7880424228377,
"DNK","WKGPOP","TOT","PC_POP","A","2013",64.5763680683727,
"DNK","WKGPOP","TOT","PC_POP","A","2014",64.4477145049248,
"DNK","WKGPOP","TOT","PC_POP","A","2015",64.3651463418586,
"DNK","WKGPOP","TOT","PC_POP","A","2016",64.261949083022,
"DNK","WKGPOP","TOT","PC_POP","A","2017",64.1323423879137,
"DNK","WKGPOP","TOT","PC_POP","A","2018",63.9670380971741,
"DNK","WKGPOP","TOT","PC_POP","A","2019",63.8557211063932,
"FIN","WKGPOP","TOT","PC_POP","A","2011",65.6908374335965,
"FIN","WKGPOP","TOT","PC_POP","A","2012",65.1068430967533,
"FIN","WKGPOP","TOT","PC_POP","A","2013",64.5047274532426,
"FIN","WKGPOP","TOT","PC_POP","A","2014",63.9333978698553,
"FIN","WKGPOP","TOT","PC_POP","A","2015",63.4355550332072,
"FIN","WKGPOP","TOT","PC_POP","A","2016",63.0295141463692,
"FIN","WKGPOP","TOT","PC_POP","A","2017",62.6567365181677,
"FIN","WKGPOP","TOT","PC_POP","A","2018",62.3171320953128,
"FIN","WKGPOP","TOT","PC_POP","A","2019",62.0637115476388,
"FRA","WKGPOP","TOT","PC_POP","A","2011",64.4819297129731,
