Event no.,Year,Month,Day,Category,"County, region or country",Location,References
1,1915,9, ,2,North East Scotland (North Sea),"Nairn, Buckie",Hickey (1997) 
2,1915,11,,2,North East Scotland (North Sea),Nairn,Hickey (1997)
3,1916,1,13-16,1,North Sea (England),"Essex, Kent, Humberside",Hickey (1997)
4,1916,9,14,1,North Sea (England),Blakeney Point (North Norfolk),Hickey (1997)
5,1916,11,5,3,"English Channel (the Solent, Dorset)","Portsmouth, Bournemouth, Cowes",Zong & Tooley (2003)
6,1917,1,26,4,English Channel (South West),Hallsands (Devon),Zong & Tooley (2003)
7,1918,2,28-2,1,North Sea (England),"East Anglia, Thames Estuary, Kent",Eden (2008)
8,1918,1,15,2,English Channel (the Solent),"Shoreham, Littlehampton, Southampton",Zong & Tooley (2003); Eden (2008)
9,1919,2,17,1,North Sea (North East England),Grimsby,Zong & Tooley (2003)
10,1920,1,8-9,2,North Sea (Scotland),"Perth (Tayside), Dundee",Hickey (1997); Zong & Tooley (2003)
11,1920,5,29,2,North Sea (England),"Louth, Grimsby ",Zong & Tooley (2003)
12,1921,7,29,1,North Sea (South East England),Folkestone,Zong & Tooley (2003)
13,1921,12,18,2,North Sea (Scotland),Alloa,Hickey (1997) 
14,1921,11,1,3,North Sea (England),"Thames Estuary, Kent, Lincolnshire, East Anglia, Scotland",Hickey (1997); Eden (2008); Zong & Tooley (2003)
15,1921,12,17,4,"North Sea (North East England, Scotland)","Hull, Grimsby, Blyth, Teeside, Alloa, Dundee",Met Office (1921); Hickey (1997); Zong & Tooley (2003); Eden (2008)
16,1922,1,1,1,North Sea (South East England),Southend ,Hickey (1997) 
17,1922,3,8,1,"English Channel, North Sea (South East England)","Margate, Dover, Folkestone",Zong & Tooley (2003)
18,1922,4,14,1,"Thames, Bristol Channel","London, Sharpness",Zong & Tooley (2003)
19,1922,10,11,1,North Sea (England),"Essex, Kent",Hickey (1997) 
20,1922,10,27,1,North Sea (England),Skegness (Lincolnshire),Zong & Tooley (2003)
21,1923,2,,2,Irish Sea (Scotland),Dumfries,Hickey (1997)
22,1923,10,10-12,3,"North Sea (England), English Channel (the Solent)","Hull, Scarborough, Severn Beach (near Bristol), Portsmouth, Hastings, Folkstone, Hythe, Sandgate, Dover (Kent)",Zong & Tooley (2003)
23,1924,,,1,Atlantic-Celtic Sea (England),Isles of Scilly (Cornwall),Hickey (1997)
24,1924,1,,1,English Channel (Dorset),Isle of Portland ,West (2014)
25,1924,2,,2,North Sea (North East England),Blyth (Northumberland),Northumberland County Council (2010)
26,1924,12,27,2,"Irish Sea (England), North Sea (South East England), English Channel (the Solent)","Southsea (Portsmouth, Hampshire), Folkstone, Sandgate, Deal (Kent), Blackpool, Fleetwood, Lytham, Sandylands (Lancashire), Gretna, Dundee",Met Office (1924); Hickey (1997); Zong & Tooley (2003)
27,1925,2,21,1,Irish Sea (England),"Morecambe, Pilling, Knott End-on-Sea, Bolton-le-Sands, Cockerham Sands (Lancashire)",Zong & Tooley (2003)
28,1925,11,8,1,English Channel-North Sea (South East England),Folkestone ,Zong & Tooley (2003)
29,1925,11,25,1,North Sea (England),-,Zong & Tooley (2003)
30,1926,2,19,1,Irish Sea (England),"Morecambe, Sandylands (Lancashire)",Zong & Tooley (2003)
31,1926,10,10,1,North Sea (England),"Humberside, Kent",Hickey (1997); Haigh et al. (2015)
32,1926,12,30,1,Irish Sea (North West England),"Preston, Heysham, Morecambe",Zong & Tooley (2003)
33,1926,11,4-5,2,Irish Sea-Atlantic-Firth of Clyde (West Scotland),"Broomielaw, Kirkcudbright, Glasgow",Met Office (1926); Hickey (1997); Zong & Tooley (2003); Eden (2008)
34,1927,,,1,"Irish Sea (Wales, England)","North Wales, Lancashire",Hickey (1997)
35,1927,1,28,1,Irish Sea (England),"Fleetwood (Lancashire), Wales",Lamb (1991)
36,1927,2,5,1,North Sea (Thames),Chiswick (Greater London),Zong & Tooley (2003)
37,1927,3,5,1,North Sea (Thames),Eel Pie Island (Greater London),Zong & Tooley (2003)
38,1927,9,19,1,North Sea (England),Boston (Lincolnshire),Zong & Tooley (2003)
39,1927,9,23,1,North Sea (England),"Scarborough, Folkestone, Dover",Zong & Tooley (2003)
40,1927,11,9,1,North Sea (Thames),London,Zong & Tooley (2003)
41,1927,12,26,1,"North Sea (England), English Channel (Dorset)","Lowestoft, Thames Estuary, Herne Bay, Deal, Dover, Chesil Beach, Isle of Portland",Hickey (1997); Zong & Tooley (2003)
42,1927,10,28-29,5,"Celtic Sea, Irish Sea","Mersey, Fleetwood, Blackpool, Sandylands, Cardigan Bay, Criccieth, Aberglaslyn, Portmadoc",Met Office (1927); Lamb (1991); Hickey (1997); Zong & Tooley (2003); Eden (2008)
43,1928,2,16,1,English Channel (the Solent),Alum Bay (Isle of Wight),Zong & Tooley (2003)
44,1928,10,28,1,Irish Sea (England),"Grange-over-Sands (Morecambe Bay, Cumbria)",Zong & Tooley (2003)
45,1928,3,22-23,2,North Sea (England),"Hull, Berwick-upon-Tweed",Zong & Tooley (2003); Haigh et al. (2015)
46,1928,1,6,5,"North Sea (Scotland, Thames, South East England)","London (City), Southwark, Putney, Hammersmith, Westminister, Mersea, Maldon (Essex), Norfolk, Stranraer",Met Office (1928); Lamb (1991); Hickey (1997); Zong & Tooley (2003); Eden (2008)
47,1929,1,16,1,North Sea (South East England),Southend,Hickey (1997)
48,1929,12,22,1,North Sea (South East England),Southend,Hickey (1997)
49,1930,8,,1,Irish Sea (South West Scotland),Annan,Hickey (1997)
50,1930,8,14,1,Atlantic-Firth of Clyde (West Scotland),"Gourock, Lamlash (Isle of Arran)",Hickey (1997)
51,1930,9,24,1,"North Sea (England), Irish Sea (Scotland)","Hull, Owston Ferry, Summergate Merse, Waterfoot, Hillend, Annan, Welldale",Hickey (1997); Zong & Tooley (2003)
52,1930,11,8,1,North Sea (England),"London, Southend",Hickey (1997); Zong & Tooley (2003)
53,1930,2,1,2,English Channel (Dorset),"Isle of Portland, Chesil Beach (Dorset)",Zong & Tooley (2003)
54,1930,3,16,2,English Channel (East Sussex),Winchelsea ,Zong & Tooley (2003)
55,1931,3,6,1,Irish Sea (North Wales),Rhos-on-Sea (Conwy County),Zong & Tooley (2003); Haigh et al. (2015)
56,1931,12,28,1,North Sea (South East England),Southend,Hickey (1997)
57,1931,8,18,2,"Irish Sea (England), English Channel (Sussex)","Seaford, Fleetwood",Zong & Tooley (2003)
58,1931,11,10-11,3,"English Channel (Solent, Sussex)","Winchelsea, Rye, Shoreham-by-Sea, Littlehampton, Freshwater Bay",Met Office (1931); Lamb (1991);  Hickey (1997); Eden (2008)
59,1932,9,4,1,North Sea (South East England),Southend,Hickey (1997)
60,1933,1,3,1,"North Sea (England, Scotland)","Humberside, Highlands",Hickey (1997)
