SurgeWatch Version 2.0 ,,,,
20/09/2016 00:00,,,,
,,,,
This file contains storm tracks for each category 3 event and higher,,,,
,,,,
Date and time, Longitude (Deg),Latitude (Deg),Atmospheric pressure (mBar),EVENT ID 
03/11/1916 12:00,-30.384952,43.190289,997.985,1
03/11/1916 18:00,-24.710411,42.532371,999.85,1
04/11/1916 00:00,-20.022747,42.367892,999.901,1
04/11/1916 06:00,-13.937008,43.272528,996.558,1
04/11/1916 12:00,-10.894138,45.65748,968.606,1
04/11/1916 18:00,-8.097988,47.877953,960.363,1
05/11/1916 00:00,-6.699913,49.851706,959.412,1
05/11/1916 06:00,-5.877515,51.167542,962.011,1
05/11/1916 12:00,-5.137358,52.812336,966.674,1
05/11/1916 18:00,-3.986002,54.53937,969.735,1
06/11/1916 00:00,-3.986002,56.759843,971.334,1
06/11/1916 06:00,-3.657043,58.157918,971.91,1
06/11/1916 12:00,-4.808399,59.391514,974.328,1
06/11/1916 18:00,-5.384077,59.638233,975.036,1
07/11/1916 00:00,-5.877515,59.720472,974.288,1
07/11/1916 06:00,-7.275591,60.049431,974.102,1
26/01/1917 00:00,-12.014445,36.11392,1003.444,2
26/01/1917 06:00,-10.039396,37.903808,1000.021,2
26/01/1917 12:00,-9.298752,39.323375,1000.444,2
26/01/1917 18:00,-6.397899,43.643795,998.891,2
27/01/1917 00:00,-6.459619,45.125082,997.143,2
27/01/1917 06:00,-5.842416,45.804005,994.366,2
27/01/1917 12:00,-4.669731,47.038411,996.352,2
29/10/1921 12:00,-32.999343,64.752134,1011.008,3
29/10/1921 18:00,-29.543514,65.603448,1008.941,3
30/10/1921 00:00,-13.680893,67.529547,1008.212,3
30/10/1921 06:00,-10.286277,68.331911,1005.808,3
30/10/1921 12:00,-8.86671,68.578792,1000.315,3
30/10/1921 18:00,-6.7065,68.578792,997.844,3
31/10/1921 00:00,-1.297209,68.227422,991.534,3
31/10/1921 06:00,5.031199,67.918719,984.127,3
31/10/1921 12:00,7.500821,67.764368,982.737,3
31/10/1921 18:00,9.198686,66.838259,981.342,3
01/11/1921 00:00,11.359606,65.449097,977.404,3
01/11/1921 06:00,13.057471,65.294745,969.849,3
01/11/1921 12:00,16.607553,64.831691,963.659,3
01/11/1921 18:00,18.45977,63.751232,961.571,3
15/12/1921 12:00,-35.319335,62.023185,997.555,4
15/12/1921 18:00,-32.440945,64.654856,988.127,4
16/12/1921 00:00,-25.20385,65.723972,982.05,4
16/12/1921 06:00,-12.127734,65.559493,979.957,4
16/12/1921 12:00,-10.729659,66.628609,972.527,4
16/12/1921 18:00,-3.657043,65.066054,976.177,4
17/12/1921 00:00,2.098522,65.140394,974.184,4
17/12/1921 06:00,3.333333,65.603448,963.892,4
17/12/1921 12:00,5.142607,65.559493,959.664,4
17/12/1921 18:00,18.054243,60.049431,958.77,4
18/12/1921 00:00,18.136483,59.884952,965.842,4
18/12/1921 06:00,18.45977,60.201149,964.885,4
07/10/1923 00:00,-59.826772,40.065179,1013.099,5
07/10/1923 06:00,-56.043745,41.792213,1010.324,5
07/10/1923 12:00,-50.780402,43.601487,1008.416,5
07/10/1923 18:00,-44.447944,46.644357,1004.95,5
08/10/1923 00:00,-38.362205,51.085302,999.833,5
08/10/1923 06:00,-35.100164,54.335796,995.789,5
08/10/1923 12:00,-25.530378,57.577176,985.774,5
08/10/1923 18:00,-20.28243,59.275041,971.839,5
09/10/1923 00:00,-13.64532,60.664204,966.98,5
09/10/1923 06:00,-8.08867,61.590312,958.039,5
09/10/1923 12:00,-2.686371,62.979475,961.076,5
09/10/1923 18:00,1.172414,63.751232,965.305,5
10/10/1923 00:00,5.031199,63.59688,972.373,5
10/10/1923 06:00,7.692038,63.5035,977.316,5
10/10/1923 12:00,16.916256,61.435961,980.583,5
10/10/1923 18:00,18.794401,60.37839,983.156,5
26/10/1927 18:00,-42.145232,38.584864,1008.596,6
27/10/1927 00:00,-40.089239,38.996063,1008.696,6
27/10/1927 06:00,-33.674541,39.9007,1004.799,6
27/10/1927 12:00,-29.644794,41.052056,999.134,6
27/10/1927 18:00,-24.463692,44.094926,993.906,6
28/10/1927 00:00,-21.256343,46.397638,992.344,6
28/10/1927 06:00,-15.581802,49.193788,991.396,6
28/10/1927 12:00,-10.729659,52.072178,988.993,6
28/10/1927 18:00,-5.219598,54.950569,989.312,6
29/10/1927 00:00,1.195101,57.828959,988.985,6
29/10/1927 06:00,4.876847,60.046798,982.869,6
29/10/1927 12:00,10.587849,61.281609,985.822,6
29/10/1927 18:00,15.835796,60.664204,990.661,6
30/10/1927 00:00,18.95888,59.555993,996.934,6
03/01/1928 18:00,-66.981627,30.031934,1019.009,7
04/01/1928 00:00,-64.596675,34.226159,1018.839,7
04/01/1928 06:00,-62.047244,37.104549,1015.49,7
04/01/1928 12:00,-57.44182,41.052056,1012.729,7
04/01/1928 18:00,-52.507437,44.999563,1008.993,7
05/01/1928 00:00,-48.888889,48.78259,1008.47,7
05/01/1928 06:00,-44.118985,52.894576,1004.265,7
05/01/1928 12:00,-38.197725,54.786089,999.054,7
05/01/1928 18:00,-28.986877,57.746719,997.034,7
06/01/1928 00:00,-15.335083,59.309274,992.444,7
06/01/1928 06:00,-4.075534,58.811987,984.769,7
06/01/1928 12:00,3.487685,57.422824,982.582,7
06/01/1928 18:00,10.587849,55.416256,984.812,7
07/01/1928 00:00,16.491689,53.552493,989.074,7
07/01/1928 06:00,18.95888,53.141295,996.432,7
07/11/1931 00:00,-59.991251,43.930446,1004.557,8
07/11/1931 06:00,-55.056868,44.588364,999.732,8
07/11/1931 12:00,-50.07225,48.007389,992.399,8
07/11/1931 18:00,-44.978654,49.2422,985.858,8
08/11/1931 00:00,-41.737274,51.248768,986.78,8
08/11/1931 06:00,-38.773403,51.989939,979.616,8
08/11/1931 12:00,-34.908136,51.57874,976.8,8
08/11/1931 18:00,-30.549431,51.4965,976.205,8
09/11/1931 00:00,-22.736658,52.072178,974.084,8
09/11/1931 06:00,-18.624672,53.223535,966.046,8
09/11/1931 12:00,-17.802275,53.388014,965.395,8
09/11/1931 18:00,-16.404199,53.305774,962.029,8
10/11/1931 00:00,-14.512686,53.388014,962.311,8
