SurgeWatch Version 2.0 ,,,,,
02-Feb-17,,,,,
,,,,,
This file contains peak water levels for each category 3 event and higher,,,,,
,,,,,
Tide gauge site,Date and time, Offset return period (years), Water Level (mCD), Astronomical Tide (m), Skew Surge (m)
Newlyn,05/11/1916 13:00,<1,5.17,4.89,0.28
Newlyn,02/11/1921 06:00,<1,5.55,5.47,0.08
Newlyn,10/10/1923 17:00,<1,5.77,5.71,0.06
Newlyn,28/10/1927 18:00,<1,5.38,5.13,0.25
Dover,06/01/1928 23:00,<1,7.17,6.32,0.85
Newlyn,08/01/1928 05:00,<1,5.28,5.31,-0.03
Newlyn,10/11/1931 17:00,4,6.11,5.71,0.4
Newlyn,30/11/1936 05:00,<1,5.49,5.67,-0.18
Aberdeen,30/11/1936 14:00,<1,4.79,4.29,0.5
Newlyn,15/01/1938 03:00,<1,5.61,5.26,0.35
Newlyn,14/02/1938 04:00,<1,5.24,5.43,-0.19
Newlyn,12/12/1942 08:00,<1,5.46,5.31,0.15
Aberdeen,27/02/1949 13:00,<1,4.33,4.03,0.3
Newlyn,28/02/1949 05:00,<1,5.18,5.13,0.05
North Shields,01/03/1949 04:00,<1,5.37,4.56,0.81
Aberdeen,31/01/1953 14:00,<1,4.79,4.1,0.69
North Shields,31/01/1953 17:00,62,6.16,4.81,1.35
Immingham,31/01/1953 19:00,21,8.42,6.84,1.58
Newlyn,01/02/1953 06:00,<1,5.29,5.23,0.07
Harwich,12/11/1954 12:00,<1,4.54,4.05,0.49
Harwich,26/11/1954 12:00,<1,4.02,3.66,0.35
Newlyn,26/11/1954 17:00,<1,5.86,5.05,0.8
Aberdeen,04/04/1958 13:00,<1,4.73,4.46,0.27
Newlyn,04/04/1958 17:00,<1,5.91,5.76,0.15
Dover,04/04/1958 23:00,<1,7.17,7.1,0.07
Harwich,05/04/1958 00:00,<1,4.23,4.17,0.06
Sheerness,05/04/1958 13:00,<1,6.1,5.93,0.17
Immingham,05/04/1958 19:00,<1,7.77,7.64,0.13
Milford Haven,07/03/1962 07:00,21,8.06,7.83,0.23
Avonmouth,07/03/1962 08:00,<1,14.48,14.48,0.01
North Shields,07/03/1962 16:00,<1,5.37,5.45,-0.08
Lerwick,08/03/1962 12:00,<1,2.41,2.44,-0.03
Newlyn,27/02/1967 07:00,<1,5.97,5.9,0.08
Milford Haven,27/02/1967 08:00,3,7.86,7.72,0.14
